"Provider Number","Hospital Name","Address 1","Address 2","Address 3","City","State","ZIP Code","County","Phone Number","Hospital Type","Hospital Ownership","Emergency Services"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","","","DOTHAN","AL","36301","HOUSTON","3347938701","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","","","BOAZ","AL","35957","MARSHALL","2565938310","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","","","FLORENCE","AL","35631","LAUDERDALE","2567688400","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","","","OPP","AL","36467","COVINGTON","3344933541","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","","","LUVERNE","AL","36049","CRENSHAW","3343353374","Acute Care Hospitals","Proprietary","Yes"
"010009","HARTSELLE MEDICAL CENTER","201 PINE STREET NORTHWEST","","","HARTSELLE","AL","35640","MORGAN","2567736511","Acute Care Hospitals","Proprietary","Not Available"
"010010","MARSHALL MEDICAL CENTER NORTH","8000 ALABAMA HIGHWAY 69","","","GUNTERSVILLE","AL","35976","MARSHALL","2565718000","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","","","BIRMINGHAM","AL","35235","JEFFERSON","2058383122","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","","","FORT PAYNE","AL","35968","DE KALB","2568453150","Acute Care Hospitals","Proprietary","Yes"
"010015","SOUTHWEST ALABAMA MEDICAL CENTER","33700 HIGHWAY 43","","","THOMASVILLE","AL","36784","CLARKE","3346366221","Acute Care Hospitals","Proprietary","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","","","ALABASTER","AL","35007","SHELBY","2056208100","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"010018","CALLAHAN EYE FOUNDATION HOSPITAL","1720 UNIVERSITY BLVD","","","BIRMINGHAM","AL","35233","JEFFERSON","2053258100","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","","","SHEFFIELD","AL","35660","COLBERT","2563864556","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","","","OZARK","AL","36360","DALE","3347742601","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010022","CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","","","CENTRE","AL","35960","CHEROKEE","2569275531","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","","","MONTGOMERY","AL","36116","MONTGOMERY","3342882100","Acute Care Hospitals","Voluntary non-profit - Church","Yes"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","","","MONTGOMERY","AL","36106","MONTGOMERY","3342938000","Acute Care Hospitals","Voluntary non-profit - Private","Yes"
"010025","GEORGE H. LANIER MEMORIAL HOSPITAL","4800 48TH ST","","","VALLEY","AL","36854","CHAMBERS","3347561400","Acute Care Hospitals","Voluntary non-profit - Other","Yes"
"010027","ELBA GENERAL HOSPITAL","987 DRAYTON STREET","","","ELBA","AL","36323","COFFEE","3348972257","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010029","EAST ALABAMA MEDICAL CENTER AND SNF","2000 PEPPERELL PARKWAY","","","OPELIKA","AL","36801","LEE","3347493411","Acute Care Hospitals","Government - Hospital District or Authority","Yes"
"010032","WEDOWEE HOSPITAL","209 NORTH MAIN STREET","","","WEDOWEE","AL","36278","RANDOLPH","2563572111","Acute Care Hospitals","Government - Local","Yes"
