Provider Number,Hospital Name,Address 1,City
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE
010009,HARTSELLE MEDICAL CENTER,201 PINE STREET NORTHWEST,HARTSELLE
010010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE
010015,SOUTHWEST ALABAMA MEDICAL CENTER,33700 HIGHWAY 43,THOMASVILLE
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER
010018,CALLAHAN EYE FOUNDATION HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY
010025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY
010027,ELBA GENERAL HOSPITAL,987 DRAYTON STREET,ELBA
010029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN
010043,CHILTON MEDICAL CENTER,1010 LAY DAM ROAD,CLANTON
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN
010047,GEORGIANA HOSPITAL,515 MIRANDA ST,GEORGIANA
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE
010050,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE
010054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY
010066,FLORALA MEMORIAL HOSPITAL,24273 FIFTH AVENUE,FLORALA
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY
010085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN
010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM
010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON,CARROLLTON
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS
010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER
010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA
010120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE
010137,COOPER GREEN MERCY HOSPITAL,1515 6TH AVENUE SOUTH,BIRMINGHAM
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK
010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE
010145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,NORTHPORT
010146,JACKSONVILLE MEDICAL CENTER,1701 SOUTH PELHAM ROAD,JACKSONVILLE
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM                    
010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE
010152,INFIRMARY WEST,5600 GIRBY RD,MOBILE
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA
010167,UAB HIGHLANDS,1201 11TH AVENUE SOUTH,BIRMINGHAM
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY                    
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA                    
011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY
013301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL
020024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE
020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA
021301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ
021302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA
021304,PETERSBURG MEDICAL CENTER, PO BOX 589,PETERSBURG
021305,WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,WRANGELL
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK
021307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA
021308,NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",NOME
021311,PEACEHEALTH KETCHIKAN MEDICAL             CENTER,3100 TONGASS AVENUE,KETCHIKAN
021313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER
030001,MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX
030002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX
030006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON
030007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD
030010,CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON
030011,CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON
030012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT
030013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA
030014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX
